sample_i,training_step,batch_i,dynamics_size_mass_bin,dynamics_thrust_to_weight_bin,dynamics_torque_to_inertia_bin,dynamics_motor_delay_bin,dynamics_curve_shape_bin,dynamics_group_key,rejected_before_accept,mass,thrust_to_weight_ratio,torque_to_inertia_ratio,sampled_tau_rise,sampled_tau_fall,sampled_curve_shape,rotor_torque_constant,inertia_trace,thrust_scale,torque_scale,sampled_parameters_inside_allowed_ranges
65,16,1,1,0,0,1,0,260,0,0.120517,1.55994,82.2778,0.0536801,0.114029,0.241452,0.0137128,0.00128878,4.18661,2.93952,true
66,16,2,2,0,0,1,0,516,0,0.135206,1.67144,243.497,0.0490389,0.120383,0.217494,0.0256821,0.000541188,5.03262,5.50528,true
67,16,3,3,0,0,1,0,772,0,0.197173,2.0635,238.276,0.0629717,0.105627,0.05,0.0211769,0.00108552,9.06069,4.53953,true
68,17,0,0,1,0,1,0,68,0,0.0688763,2.86261,250.899,0.0633744,0.127194,0.215114,0.0262029,0.000365786,4.39076,5.61691,true
69,17,1,1,1,0,1,0,324,0,0.0946162,3.08796,47.8761,0.053927,0.151558,0.05,0.00613475,0.00302927,6.50646,1.31506,true
70,17,2,2,1,0,1,0,580,0,0.157173,3.13493,261.896,0.0592188,0.11088,0.201945,0.0267598,0.00114972,10.9727,5.73629,true
71,17,3,3,1,0,1,0,836,0,0.243641,2.66776,171.611,0.0624296,0.135153,0.221381,0.0201923,0.00268978,14.4745,4.32846,true
72,18,0,0,2,0,1,0,132,0,0.0268766,3.85549,178.565,0.0594509,0.111599,0.130078,0.0186775,0.000193828,2.30761,4.00375,true
73,18,1,1,2,0,1,0,388,0,0.123603,3.73685,186.676,0.050373,0.153178,0.05,0.0173064,0.00134794,10.2859,3.70985,true
74,18,2,2,2,0,1,0,644,0,0.155178,3.40618,313.174,0.0644727,0.124887,0.185485,0.0303679,0.00102342,11.7708,6.50974,true
75,18,3,3,2,0,1,0,900,0,0.206483,3.97502,208.558,0.0488234,0.16198,0.0785139,0.0198444,0.00256483,18.2781,4.25388,true
76,19,0,0,3,0,1,0,196,0,0.0211748,4.19809,179.811,0.0583349,0.124422,0.0561234,0.0171102,0.000150072,1.97961,3.66778,true
77,19,1,1,3,0,1,0,452,0,0.119567,4.27797,204.764,0.0557609,0.142468,0.222614,0.0227922,0.00139967,11.3908,4.8858,true
78,19,2,2,3,0,1,0,708,0,0.180609,4.19875,235.089,0.0584396,0.13212,0.102433,0.022441,0.00202102,16.8875,4.8105,true
79,19,3,3,3,0,1,0,964,0,0.197123,4.57682,147.609,0.0587488,0.14287,0.138011,0.0164542,0.00397325,20.0914,3.52716,true
80,20,0,0,0,1,1,0,20,0,0.0240521,2.28376,576.555,0.0641223,0.115353,0.240393,0.0295381,3.1396e-05,1.22324,6.33185,true
81,20,1,1,0,1,1,0,276,0,0.117366,1.63329,447.824,0.0593478,0.147703,0.0840217,0.016032,0.000231368,4.26886,3.43665,true
82,20,2,2,0,1,1,0,532,0,0.169639,1.77511,397.673,0.0581032,0.0979137,0.148712,0.0135965,0.000469295,6.70596,2.91459,true
83,20,3,3,0,1,1,0,788,0,0.242484,2.30795,403.834,0.0645073,0.149218,0.149389,0.0140898,0.000967626,12.4628,3.02032,true
84,21,0,0,1,1,1,0,84,0,0.0541707,2.3759,583.604,0.0558316,0.147704,0.16426,0.0283721,9.37326e-05,2.86616,6.0819,true
85,21,1,1,1,1,1,0,340,0,0.124564,3.02419,383.284,0.0546059,0.155291,0.182219,0.0132341,0.000553489,8.389,2.83688,true
86,21,2,2,1,1,1,0,596,0,0.184124,3.15574,486.913,0.047985,0.151375,0.05,0.0176546,0.000739223,12.9395,3.78449,true
87,21,3,3,1,1,1,0,852,0,0.248839,3.20532,506.756,0.0595565,0.12569,0.182177,0.0228128,0.00111632,17.7622,4.8902,true
88,22,0,0,2,1,1,0,148,0,0.0378392,3.81866,385.761,0.0481471,0.142579,0.0779035,0.0110791,0.000138642,3.21782,2.37494,true
89,22,1,1,2,1,1,0,404,0,0.0938105,4.01575,506.158,0.062192,0.141431,0.145599,0.0219434,0.000378357,8.38929,4.70384,true
90,22,2,2,2,1,1,0,660,0,0.13877,4.06163,518.947,0.059058,0.1407,0.144543,0.0229119,0.000628968,12.5518,4.91145,true
91,22,3,3,2,1,1,0,916,0,0.21423,3.58615,610.318,0.0583298,0.1079,0.0938652,0.0288608,0.000833304,17.1087,6.18666,true
92,23,0,0,3,1,1,0,212,0,0.063237,4.39714,431.446,0.0570986,0.127725,0.170517,0.0167074,0.000288812,6.19226,3.58144,true
93,23,1,1,3,1,1,0,468,0,0.0892182,4.42421,378.644,0.0609697,0.131823,0.142847,0.0119881,0.000520841,8.79016,2.5698,true
94,23,2,2,3,1,1,0,724,0,0.148996,4.73086,604.458,0.049582,0.098036,0.225186,0.0313608,0.000703511,15.6972,6.72258,true
95,23,3,3,3,1,1,0,980,0,0.218837,4.37489,604.536,0.0481673,0.134857,0.162815,0.0299636,0.00107168,21.3204,6.42306,true
96,24,0,0,0,2,1,0,36,0,0.0642695,1.67716,809.144,0.0624492,0.157991,0.176482,0.0236458,6.00969e-05,2.40041,5.06876,true
97,24,1,1,0,2,1,0,292,0,0.12794,1.58079,715.452,0.0569695,0.13314,0.209382,0.0171169,0.000161553,4.50392,3.66921,true
98,24,2,2,0,2,1,0,548,0,0.170078,2.02,660.479,0.0515506,0.119344,0.106705,0.0105415,0.000319736,7.65081,2.2597,true
99,24,3,3,0,2,1,0,804,0,0.20584,2.3723,865.228,0.0648857,0.164101,0.233115,0.0292714,0.000379842,10.8744,6.27469,true
100,25,0,0,1,2,1,0,100,0,0.0731542,2.99969,749.451,0.053277,0.12407,0.156359,0.0185617,0.000137323,4.88678,3.97892,true
101,25,1,1,1,2,1,0,356,0,0.0903471,2.42404,808.792,0.0515617,0.122552,0.213046,0.0244412,0.000137912,4.87711,5.23927,true
102,25,2,2,1,2,1,0,612,0,0.16895,3.17279,807.859,0.0639937,0.134031,0.153388,0.0230264,0.000411085,11.9374,4.936,true
103,25,3,3,1,2,1,0,868,0,0.203996,2.61326,892.431,0.0561336,0.148156,0.05,0.0261974,0.000381317,11.8717,5.61573,true
104,26,0,0,2,2,1,0,164,0,0.0404022,3.43526,774.422,0.0620277,0.153247,0.0600238,0.0183316,6.75356e-05,3.09081,3.9296,true
105,26,1,1,2,2,1,0,420,0,0.111337,3.587,826.114,0.0522533,0.147611,0.0600337,0.0223424,0.000255402,8.89364,4.78937,true
106,26,2,2,2,2,1,0,676,0,0.19057,3.91485,742.941,0.0633014,0.118587,0.146855,0.0178427,0.000646704,16.6142,3.82481,true
107,26,3,3,2,2,1,0,932,0,0.197292,3.80097,657.403,0.0572675,0.104605,0.05,0.00887069,0.000726555,16.6998,1.90154,true
108,27,0,0,3,2,1,0,228,0,0.054178,4.23563,864.673,0.0611203,0.108655,0.05,0.0242049,0.00010907,5.11032,5.18862,true
109,27,1,1,3,2,1,0,484,0,0.0894826,4.96042,874.929,0.0501507,0.163213,0.166649,0.0285286,0.000255024,9.88473,6.11546,true
110,27,2,2,3,2,1,0,740,0,0.154052,4.97921,868.228,0.0482604,0.111478,0.237143,0.0295948,0.000540313,17.0819,6.34401,true
111,27,3,3,3,2,1,0,996,0,0.209333,4.93225,851.702,0.0539232,0.152217,0.12883,0.0258756,0.000802397,22.9927,5.54674,true
112,28,0,0,0,3,1,0,52,0,0.0215849,1.90123,913.448,0.0637863,0.157736,0.0644732,0.0067182,1.37505e-05,0.913887,1.44013,true
113,28,1,1,0,3,1,0,308,0,0.130565,2.32877,1089.54,0.0568665,0.164018,0.138262,0.0220411,0.000158144,6.77114,4.72478,true
114,28,2,2,0,3,1,0,564,0,0.163357,2.13452,1017.26,0.0573972,0.133513,0.123106,0.0160921,0.000208624,7.7651,3.44954,true
115,28,3,3,0,3,1,0,820,0,0.206451,2.2711,1004.78,0.0643604,0.114339,0.151332,0.0157587,0.000308942,10.4415,3.37806,true
116,29,0,0,1,3,1,0,116,0,0.0580416,3.0747,1137.12,0.0562919,0.114389,0.05,0.0230891,6.61573e-05,3.97421,4.94942,true
117,29,1,1,1,3,1,0,372,0,0.120313,3.2026,1064.76,0.056972,0.147409,0.232145,0.0222304,0.000203596,8.58068,4.76535,true
118,29,2,2,1,3,1,0,628,0,0.163159,2.72495,979.642,0.0647593,0.123549,0.05,0.0105621,0.000269181,9.90097,2.26412,true
119,29,3,3,1,3,1,0,884,0,0.245816,2.80151,1179.95,0.0627295,0.123887,0.0726033,0.0275778,0.000402611,15.336,5.91164,true
120,30,0,0,2,3,1,0,180,0,0.0574992,3.79181,1198.84,0.0506145,0.132172,0.200802,0.0319277,7.94669e-05,4.8553,6.8441,true
121,30,1,1,2,3,1,0,436,0,0.0901276,3.42342,994.334,0.0547958,0.159324,0.0936154,0.0136495,0.000153912,6.87109,2.92593,true
122,30,2,2,2,3,1,0,692,0,0.190055,3.71846,1171.78,0.0625997,0.138209,0.0881331,0.0272934,0.000383153,15.7381,5.85068,true
123,30,3,3,2,3,1,0,948,0,0.249868,3.80148,1035.77,0.0558973,0.1174,0.102676,0.0170682,0.000640263,21.1529,3.65878,true
124,31,0,0,3,3,1,0,244,0,0.0286923,4.99099,1119.69,0.0556355,0.137749,0.183646,0.0254008,4.41644e-05,3.18904,5.44498,true
125,31,1,1,3,3,1,0,500,0,0.111891,4.46145,1119.7,0.0516119,0.10095,0.096892,0.0234497,0.000237836,11.1168,5.02672,true
126,31,2,2,3,3,1,0,756,0,0.190633,4.93599,1050.24,0.0571599,0.125306,0.240979,0.0213028,0.000588749,20.9547,4.56653,true
127,31,3,3,3,3,1,0,1012,0,0.207651,4.86338,1084.62,0.0512998,0.124261,0.123908,0.0213362,0.000613986,22.4895,4.57368,true
128,32,0,0,0,0,2,0,8,0,0.0320097,1.76305,251.438,0.0793388,0.219424,0.05,0.0217973,7.7532e-05,1.25677,4.67251,true
129,32,1,1,0,0,2,0,264,0,0.0794955,1.79735,54.325,0.0740457,0.175156,0.05,0.00652589,0.00123061,3.18187,1.3989,true
130,32,2,2,0,0,2,0,520,0,0.153948,2.33597,246.492,0.0669389,0.177741,0.161888,0.0246634,0.000877881,8.00845,5.28691,true
131,32,3,3,0,0,2,0,776,0,0.22159,1.59533,142.44,0.0678752,0.178378,0.0626768,0.0143582,0.00165025,7.87242,3.07785,true
132,33,0,0,1,0,2,0,72,0,0.0411161,2.41334,177.201,0.0774804,0.176405,0.16346,0.0193228,0.000217064,2.20973,4.14207,true
133,33,1,1,1,0,2,0,328,0,0.100415,2.66773,248.492,0.0765658,0.172423,0.05,0.0220548,0.000547733,5.96551,4.72771,true
134,33,2,2,1,0,2,0,584,0,0.17259,3.11667,70.8059,0.0765331,0.226515,0.0947078,0.00952104,0.00468036,11.9789,2.04095,true
135,33,3,3,1,0,2,0,840,0,0.21524,3.18766,179.825,0.0821196,0.228132,0.161397,0.0194799,0.00256692,15.2792,4.17575,true
136,34,0,0,2,0,2,0,136,0,0.0333641,3.66818,97.6697,0.0747041,0.230669,0.218851,0.0143985,0.000458436,2.72545,3.0865,true
137,34,1,1,2,0,2,0,392,0,0.131559,3.75061,225.364,0.0773352,0.215525,0.18107,0.0234557,0.00125536,10.9883,5.02802,true
138,34,2,2,2,0,2,0,648,0,0.13704,4.05327,105.948,0.0796432,0.167074,0.138014,0.013222,0.00301916,12.3697,2.83429,true
139,34,3,3,2,0,2,0,904,0,0.241808,3.97234,286.463,0.0653151,0.219568,0.143269,0.0273457,0.002336,21.3907,5.86188,true
140,35,0,0,3,0,2,0,200,0,0.0738847,4.594,270.473,0.0807637,0.170179,0.192708,0.0272174,0.000595126,7.55882,5.83439,true
141,35,1,1,3,0,2,0,456,0,0.0991258,4.74868,323.585,0.0764191,0.181927,0.0830096,0.02887,0.000743068,10.4826,6.18864,true
142,35,2,2,3,0,2,0,712,0,0.189522,4.95993,87.4575,0.0791525,0.207671,0.225085,0.0137465,0.00702551,20.9335,2.94672,true
143,35,3,3,3,0,2,0,968,0,0.19311,4.43917,150.132,0.071598,0.180898,0.227573,0.0186651,0.00375767,19.0904,4.00109,true
144,36,0,0,0,1,2,0,24,0,0.0321264,2.14575,562.451,0.0776715,0.21609,0.11545,0.0256326,4.3308e-05,1.53514,5.49467,true
145,36,1,1,0,1,2,0,280,0,0.0960713,1.74469,499.561,0.0803671,0.201025,0.0607485,0.0195224,0.000168785,3.73266,4.18487,true
146,36,2,2,0,1,2,0,536,0,0.161668,2.03854,365.12,0.0719238,0.177884,0.19293,0.0120658,0.00055574,7.33925,2.58644,true
147,36,3,3,0,1,2,0,792,0,0.20601,1.96858,520.171,0.0716417,0.229827,0.0529425,0.0209458,0.000504889,9.03128,4.49,true
148,37,0,0,1,1,2,0,88,0,0.0672682,3.00794,591.67,0.0669074,0.220169,0.135947,0.0283608,0.000155281,4.50595,6.07949,true
149,37,1,1,1,1,2,0,344,0,0.111054,2.72994,400.455,0.069289,0.226684,0.170579,0.0143043,0.00040932,6.75145,3.06631,true
150,37,2,2,1,1,2,0,600,0,0.174231,2.57773,349.917,0.0784773,0.197354,0.05,0.00713876,0.000781452,10.0016,1.53028,true
151,37,3,3,1,1,2,0,856,0,0.223188,3.05868,357.537,0.0816022,0.204216,0.059657,0.00847879,0.0012718,15.2024,1.81753,true
152,38,0,0,2,1,2,0,152,0,0.0740458,3.81828,438.779,0.077527,0.182131,0.131046,0.0163883,0.000301774,6.29617,3.51302,true
153,38,1,1,2,1,2,0,408,0,0.112903,3.64661,565.855,0.0670285,0.219507,0.108012,0.0257294,0.000390255,9.16857,5.51541,true
154,38,2,2,2,1,2,0,664,0,0.137867,3.64471,492.706,0.0721391,0.21006,0.218687,0.0225442,0.000598716,11.19,4.83263,true
155,38,3,3,2,1,2,0,920,0,0.231868,3.27056,383.631,0.0742853,0.203187,0.0942856,0.0112825,0.00134367,16.8877,2.41854,true
156,39,0,0,3,1,2,0,216,0,0.0313611,4.25685,443.651,0.0797966,0.191566,0.205051,0.0184314,0.000107525,2.97295,3.951,true
157,39,1,1,3,1,2,0,472,0,0.103568,4.22406,340.899,0.0677283,0.174956,0.05,0.00668199,0.000658519,9.74234,1.43237,true
158,39,2,2,3,1,2,0,728,0,0.154479,4.16364,447.073,0.0715187,0.172407,0.15476,0.0175653,0.000865357,14.3235,3.76535,true
159,39,3,3,3,1,2,0,984,0,0.20304,4.40246,614.513,0.0650627,0.175528,0.10084,0.0293432,0.000947303,19.906,6.29007,true
160,40,0,0,0,2,2,0,40,0,0.0382839,2.04076,861.303,0.0690423,0.171837,0.116577,0.0263447,3.39903e-05,1.73987,5.64732,true
161,40,1,1,0,2,2,0,296,0,0.103091,1.68274,842.39,0.0796865,0.207814,0.13786,0.0253562,0.000107852,3.86318,5.43542,true
162,40,2,2,0,2,2,0,552,0,0.182918,2.08358,867.671,0.0729341,0.172715,0.131428,0.027173,0.000278113,8.48736,5.82486,true
163,40,3,3,0,2,2,0,808,0,0.229238,1.73745,672.547,0.0735739,0.218193,0.0774417,0.0108193,0.000399551,8.86965,2.31926,true
164,41,0,0,1,2,2,0,104,0,0.0689139,3.23279,772.777,0.0688917,0.231227,0.116567,0.0194761,0.00013141,4.96126,4.17495,true
165,41,1,1,1,2,2,0,360,0,0.127987,3.11588,794.416,0.0788786,0.214002,0.227833,0.0236585,0.000288045,8.88084,5.07149,true
166,41,2,2,1,2,2,0,616,0,0.166721,2.97377,820.314,0.081556,0.210165,0.0500465,0.0216677,0.000364509,11.0409,4.64473,true
167,41,3,3,1,2,2,0,872,0,0.238138,2.71077,901.166,0.0683895,0.165983,0.05,0.0272484,0.000483253,14.3757,5.84103,true
168,42,0,0,2,2,2,0,168,0,0.058698,3.3527,783.579,0.0784299,0.230139,0.05,0.0181483,0.000106257,4.38254,3.89031,true
169,42,1,1,2,2,2,0,424,0,0.134892,3.63366,732.987,0.0750244,0.226101,0.155712,0.0172698,0.000384525,10.9153,3.70199,true
170,42,2,2,2,2,2,0,680,0,0.161674,3.63576,909.568,0.0797842,0.228083,0.148817,0.0308149,0.000394156,13.0901,6.60554,true
171,42,3,3,2,2,2,0,936,0,0.217832,3.87538,768.668,0.0697165,0.203737,0.137893,0.0196372,0.000738079,18.7994,4.20948,true
172,43,0,0,3,2,2,0,232,0,0.0506954,4.29436,776.524,0.0669944,0.203667,0.05,0.0179948,0.000113395,4.84814,3.8574,true
173,43,1,1,3,2,2,0,488,0,0.0800067,4.92029,782.016,0.0751527,0.222221,0.120442,0.0202802,0.000241363,8.76646,4.3473,true
174,43,2,2,3,2,2,0,744,0,0.176917,4.1909,683.474,0.0724502,0.187328,0.150502,0.013311,0.000682059,16.5114,2.85338,true
175,43,3,3,3,2,2,0,1000,0,0.21574,4.67878,855.109,0.0652824,0.228577,0.249407,0.0288529,0.000809786,22.4787,6.18497,true
176,44,0,0,0,3,2,0,56,0,0.0454099,2.116,959.957,0.0732302,0.176145,0.170675,0.0127162,4.01688e-05,2.1398,2.72587,true
177,44,1,1,0,3,2,0,312,0,0.0781357,1.63693,1194.92,0.0803135,0.176615,0.129594,0.0300216,5.10208e-05,2.84832,6.4355,true
178,44,2,2,0,3,2,0,568,0,0.152064,2.20622,981.899,0.0790024,0.200171,0.067234,0.0120911,0.000200593,7.47107,2.59189,true
179,44,3,3,0,3,2,0,824,0,0.204252,2.27988,1034.35,0.0784357,0.222333,0.0922319,0.0167232,0.000293225,10.3702,3.58483,true
180,45,0,0,1,3,2,0,120,0,0.034538,3.19349,1033.98,0.0711719,0.1661,0.154848,0.0181035,3.89433e-05,2.45624,3.8807,true
